citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
42 FR 6787, ,"","","",Presidential Document,Executive Order,02/04/1977,1977-01-31,"","Withholding of District of Columbia, State and city income or employment taxes","Revokes: EO 10407, November 6, 1952; EO      10672, July 9, 1956; EO 11863, June 12,      1975
Revoked by: EO 11997, June 22, 1977",11968,""
42 FR 9155, ,"","","",Presidential Document,Executive Order,02/15/1977,1977-02-11,"",Establishing the Committee on Selection of the Director of the Federal Bureau of Investigation,"Amended by: EO 11982, April 29, 1977
Revoked by: EO 12110, December 28, 1978",11971,""
42 FR 10677, ,"","","",Presidential Document,Executive Order,02/23/1977,1977-02-17,"",President's Commission on Mental Health,"Revoked by: EO 12110, December 28, 1978",11973,""
42 FR 11230A, ,"","","",Presidential Document,Executive Order,02/28/1977,1977-02-25,"",Amending the Generalized System of Preferences,"Amends: EO 11888, November 24, 1975
Revokes: EO 11960, January 19, 1977
See: EO 12041, February 25, 1978",11974,""
42 FR 13267, ,"","","",Presidential Document,Executive Order,03/10/1977,1977-03-07,"","Abolishing the President's Economic Policy Board, and for other purposes","Revokes: EO 11808, September 30, 1974",11975,""
42 FR 16771, ,"","","",Presidential Document,Executive Order,03/30/1977,1977-03-28,"","National Commission on the Observance of International Women's Year, 1975","Amends: EO 11832, January 9, 1975
Amended by: EO 11980, March 29, 1977
Revoked by: EO 12050, April 4, 1978",11979,""
42 FR 16773, ,"","","",Presidential Document,Executive Order,03/30/1977,1977-03-29,"","National Commission on the Observance of International Women's Year, 1975","Amends: EO 11832, January 9, 1975; EO      11979, March 28, 1977
Revoked by: EO 12050, April 4, 1978",11980,""
42 FR 25487, ,"","","",Presidential Document,Executive Order,05/18/1977,1977-05-13,"",United States foreign intelligence activities,"Amends: EO 11905, February 18, 1976
Superseded by: EO 12036, January 24, 1978
See: EO 10911, January 9, 1961;      EO 11994, June 1, 1977",11985,""
42 FR 26961, ,"","","",Presidential Document,Executive Order,05/25/1977,1977-05-24,"",Protection of wetlands,"Amended by: EO 12608, September 9, 1987
See: EO 11514, March 5, 1970",11990,""
42 FR 26967, ,"","","",Presidential Document,Executive Order,05/25/1977,1977-05-24,"",Relating to protection and enhancement of environmental quality,"Amends: EO 11514, March 5, 1970
Revoked by: EO 14154, January 20, 2025",11991,false
