citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
60 FR 13023, 95-6121,13025,https://www.federalregister.gov/documents/1995/03/10/95-6121/ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-6121.pdf,Presidential Document,Executive Order,03/10/1995,1995-03-08,13023,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts,"",12954,""
62 FR 68521, 97-34224,68530,https://www.federalregister.gov/documents/1997/12/31/97-34224/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-1997-12-31/pdf/97-34224.pdf,Presidential Document,Executive Order,12/31/1997,1997-12-29,68521,Adjustments of Certain Rates of Pay,"Supersedes: EO 13033, December 27, 1996
Superseded by: EO 13106, December 7, 1998",13071,""
60 FR 6381, 95-2687,6381,https://www.federalregister.gov/documents/1995/02/01/95-2687/amendment-to-executive-order-no-12898,https://www.govinfo.gov/content/pkg/FR-1995-02-01/pdf/95-2687.pdf,Presidential Document,Executive Order,02/01/1995,1995-01-30,6381,Amendment to Executive Order No. 12898,"Amends: EO 12898, February 11, 1994",12948,""
58 FR 5911, ,"","","",Presidential Document,Executive Order,01/22/1993,1993-01-20,"",Ethics Commitments by Executive Branch Appointees,"Revoked by: EO 13184, December 28, 2000",12834,""
58 FR 6189, ,"","","",Presidential Document,Executive Order,01/27/1993,1993-01-25,"",Establishment of the National Economic Council,"Amended by: EO 13286, February 28, 2003; EO 13499, February 5, 2009; EO 13569, April 5, 2011",12835,""
58 FR 7045, ,"","","",Presidential Document,Executive Order,02/03/1993,1993-02-01,"",Revocation of Certain Executive Orders Concerning Federal Contracting,"Revokes: EO 12818, October 23, 1992; EO 12800, April 13, 1992
Revoked by: EO 13201, February 17, 2001 (in part); EO 13202, February 17, 2001
See: 58 FR 12140",12836,""
58 FR 8205, ,"","","",Presidential Document,Executive Order,02/12/1993,1993-02-10,"",Deficit Control and Productivity Improvement in the Administration of the Federal Government,"",12837,""
58 FR 8207, ,"","","",Presidential Document,Executive Order,02/12/1993,1993-02-10,"",Termination and Limitation of Federal Advisory Committees,"",12838,""
58 FR 8515, ,"","","",Presidential Document,Executive Order,02/12/1993,1993-02-10,"","Reduction of 100,000 Federal positions",See: Pub.L. 103-88 (107 Stat. 978),12839,""
58 FR 13529, ,"","","",Presidential Document,Executive Order,03/12/1993,1993-03-09,"",Adjustments to level IV and V of the Executive Schedule,"Amends: EO 12154, September 4, 1979
See: EO 12833, January 19, 1993",12841,""
58 FR 21885, ,"","","",Presidential Document,Executive Order,04/23/1993,1993-04-21,"",Federal use of Alternative fueled vehicles,"Revoked in part by: EO 12974, September 29, 1995
Superseded by: EO 13031, December 13, 1996",12844,""
58 FR 21887, ,"","","",Presidential Document,Executive Order,04/23/1993,1993-04-21,"",Requiring agencies to purchase energy efficient computer equipment,"See: EO 13101, September 14, 1998
Revoked by: EO 13123, June 3, 1999",12845,""
58 FR 25771, ,"","","",Presidential Document,Executive Order,04/27/1993,1993-04-25,"",Additional measures with respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"See: EO 12808, May 30, 1992; EO 12810, June 5, 1992; EO 12831, January 15, 1993; Notice of May 25, 1993; Notice of May 25, 1994; 58 FR 35828 (Department of the Treasury, Office of Foreign Assets Control sanctions regulations); Presidential Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice, May 28, 1997; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003",12846,""
58 FR 29517, ,"","","",Presidential Document,Executive Order,05/20/1993,1993-05-19,"",Federal plan to break the cycle of homelessness,"",12848,""
58 FR 31327, ,"","","",Presidential Document,Executive Order,06/01/1993,1993-05-28,"",Conditions for renewal of Most-Favored-Nation Status for the People's Republic of China in 1994,"See: Presidential Determination No. 93-23, May 28, 1993",12850,""
58 FR 33181, ,"","","",Presidential Document,Executive Order,06/15/1993,1993-06-11,"","Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities","Supersedes: Memorandum of June 25, 1991
See: EO 12923, June 30, 1994; EO 12924, August 19, 1994; EO 13222, August 17, 2001",12851,""
58 FR 35841, ,"","","",Presidential Document,Executive Order,07/02/1993,1993-06-29,"",President's Council on Sustainable Development,"Revokes: EO 12737, December 12, 1990
Amended by: EO 12855, July 19, 1993; EO 12965, June 27, 1995; EO 12965, June 27, 1995; EO 12980, November 17, 1995; EO 13053, June 30, 1997; EO 13114, February 25, 1999
Revoked by: EO 13138, September 30, 1999",12852,""
58 FR 36587, ,"","","",Presidential Document,Executive Order,07/07/1993,1993-07-04,"",Implementation of the Cuban Democracy Act,See: 58 FR 45060,12854,""
58 FR 39107, ,"","","",Presidential Document,Executive Order,07/21/1993,1993-07-19,"",Amendment to Executive Order 12852,"Amends: EO 12852, June 29, 1993
Note: EO 12855 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",12855,""
58 FR 42181, ,"","","",Presidential Document,Executive Order,08/06/1993,1993-08-04,"",Budget Control,"",12857,""
58 FR 47201, ,"","","",Presidential Document,Executive Order,09/08/1993,1993-09-03,"",Adding members to the Committee on Foreign Investment in the United States,"Amends: EO 11858, May 7, 1975",12860,""
58 FR 48257, ,"","","",Presidential Document,Executive Order,09/14/1993,1993-09-11,"",Setting Customer Service Standards,"EO 13571, April 27, 2011",12862,""
58 FR 51005, ,"","","",Presidential Document,Executive Order,09/29/1993,1993-09-26,"",Prohibiting Certain Transactions Involving UNITA,"Continued by Notices of August 17, 1994; September 18, 1995; September 16, 1996; of September 24, 1997
See: State Department sanctions (58 FR 64904); Final Rule of March 23 (59 FR 15624); Final Rule at (62 FR 45098); EO 13069, December 12, 1997; EO 13098, August 18, 1998; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105)
Revoked by: EO 13298, May 6, 2003",12865,""
58 FR 51735, ,"","","",Presidential Document,Executive Order,10/04/1993,1993-09-30,"",Regulatory Planning and Review,"Revokes: EO 12291, February 17, 1981; EO 12498, January 4, 1985
Amended by: EO 13258, February 26, 2002; EO 13422, January 18, 2007; EO 14215, February 24, 2025
Supplemented by: EO 12875, October 26, 1993; EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999
See: 59 FR 24276; EO 12988, February 5, 1996; EO 13175, November 6, 2000; EO 13272, August 13, 2002; EO 13416, December 5, 2006; EO 13432, May 14, 2007; EO 13497, January 30, 2009; EO 13579, July 11, 2011; EO 13609, May 1, 2012; EO 13610, May 10, 2012; EO 13636, February 12, 2013; EO 14192, January 31, 2025; EO 14219, February 19, 2025; EO 14267, April 9, 2025",12866,false
58 FR 51747, ,"","","",Presidential Document,Executive Order,10/04/1993,1993-09-30,"",Termination of emergency authority for certain export controls,"Revokes: EO 12730, September 30, 1990
See: EO 12735, November 16, 1990; EO 12002, July 7, 1977; EO 12214, May 2, 1980",12867,""
58 FR 51749, ,"","","",Presidential Document,Executive Order,10/04/1993,1993-09-30,"",Measures to restrict the participation by United States persons in weapons proliferation activities,"Revoked by: EO 12930, September 29, 1994
See: EO 12730, September 30, 1990; subsequent continuing administrative memoranda; EO 12735, November 16, 1990",12868,""
58 FR 51753, ,"","","",Presidential Document,Executive Order,10/04/1993,1993-09-30,"",Trade Promotion Coordinating Committee,"Amended by: EO 13286, February 28, 2003",12870,""
58 FR 52201, ,"","","",Presidential Document,Executive Order,10/06/1993,1993-10-01,"",Labor-Management Partnerships,"Amended by: EO 12974, September 29, 1995; EO 12983, December 21, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13156, May 17, 2000
Revoked by: EO 13203, February 17, 2001",12871,""
58 FR 58735, ,"","","",Presidential Document,Executive Order,11/04/1993,1993-11-01,"",Historically black colleges and universities,"Revokes: EO 12677, April 28, 1989
Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999
Revoked by: EO 13256, February 12, 2002",12876,""
58 FR 59159, ,"","","",Presidential Document,Executive Order,11/08/1993,1993-11-03,"",Amendment to Executive Order 12569,"Amends: EO 12569, October 16, 1986",12877,""
58 FR 59929, ,"","","",Presidential Document,Executive Order,11/10/1993,1993-11-08,"",Order of succession of officers to act as Secretary of the Navy,"",12879,""
58 FR 60989, ,"","","",Presidential Document,Executive Order,11/18/1993,1993-11-16,"",National Drug Control Program,"Amended by: EO 13008, June 3, 1996",12880,""
58 FR 63281, ,"","","",Presidential Document,Executive Order,12/01/1993,1993-11-29,"",Delegating a Federal Pay Administration Authority,"Amends: EO 12748, February 1, 1991",12883,""
58 FR 65863, ,"","","",Presidential Document,Executive Order,12/16/1993,1993-12-14,"",Amendment to Executive Order No. 12829,"Amends: EO 12829, January 6, 1993",12885,""
58 FR 68713, ,"","","",Presidential Document,Executive Order,12/28/1993,1993-12-23,"",Amending Executive Order No. 12878,"Amends: EO 12878, November 5, 1993
See: EO 12974, September 29, 1995",12887,""
58 FR 69153, ,"","","",Presidential Document,Executive Order,12/29/1993,1993-12-23,"","Amendments to the Manual for Courts-Martial, United States, 1984","Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999",12888,""
66 FR 5421, 01-1813,5423,https://www.federalregister.gov/documents/2001/01/19/01-1813/federal-interagency-task-force-on-the-district-of-columbia,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1813.pdf,Presidential Document,Executive Order,01/19/2001,2001-01-15,5421,Federal Interagency Task Force on the District of Columbia,"",13189,""
66 FR 5424, 01-1814,5425,https://www.federalregister.gov/documents/2001/01/19/01-1814/presidents-commission-on-educational-resource-equity,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1814.pdf,Presidential Document,Executive Order,01/19/2001,2001-01-15,5424,President's Commission on Educational Resource Equity,"",13190,""
65 FR 24595, 00-10550,24606,https://www.federalregister.gov/documents/2000/04/26/00-10550/greening-the-government-through-leadership-in-environmental-management,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10550.pdf,Presidential Document,Executive Order,04/26/2000,2000-04-21,24595,Greening the Government Through Leadership in Environmental Management,"Revokes: EO 12088, October 13, 1978 (in part); EO 12843, April 21, 1993; EO 12856, August 3, 1993; EO 12969, August 8, 1995; Memorandum of April 26, 1994
See: EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999
Revoked by: EO 13423, January 24, 2007",13148,""
65 FR 24607, 00-10551,24611,https://www.federalregister.gov/documents/2000/04/26/00-10551/greening-the-government-through-federal-fleet-and-transportation-efficiency,https://www.govinfo.gov/content/pkg/FR-2000-04-26/pdf/00-10551.pdf,Presidential Document,Executive Order,04/26/2000,2000-04-21,24607,Greening the Government Through Federal Fleet and Transportation Efficiency,"Revokes: EO 13031, December 13, 1996
Revoked by: EO 13423, January 24, 2007
See:  EO 13101, September 14, 1998; Proc. 7308, May 15, 2000 (65 FR 31783)",13149,""
