citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
39 FR 30335, ,"","","",Presidential Document,Executive Order,08/22/1974,1974-08-21,"",The Honorable Rodger P. Davies,"",11801,""
39 FR 32111, ,"","","",Presidential Document,Executive Order,09/05/1974,1974-09-04,"","General Creighton W. Abrams, Chief of Staff, United States Army","",11802,""
39 FR 33297, ,"","","",Presidential Document,Executive Order,09/17/1974,1974-09-16,"","Establishing a Clemency Board to review certain convictions of persons under section 12 or 6 (j) of the Military Selective Service Act and certain discharges issued because of, and certain convictions for, violations of Article 85, 86, or 87 of the Uniform Code of Military Justice and to make recommendations for executive clemency with respect thereto","Amended by: EO 11837, January 30, 1975;      EO 11842, February 28, 1975; EO      11857, May 7, 1975; EO 11878, September      10, 1975 (Board terminated, functions transferred to Attorney General)
See: EO 11967, January 21, 1977",11803,""
39 FR 34641, ,"","","",Presidential Document,Executive Order,09/27/1974,1974-09-25,"","Amending Executive Order No. 11763 of January 17, 1974, to extend the life of the National Commission for the Observance of World Population Year","Amends: EO 11763, January 17, 1974",11806,""
39 FR 39427, ,"","","",Presidential Document,Executive Order,11/07/1974,1974-11-05,"",Delegating the United States Civil Service Commission as the agent to concur with agency determinations fixing the age limits within which original appointments may be made with respect to law enforcement officer and firefighters positions,"Amended by: EO 12107, December 28, 1978",11817,""
39 FR 39429, ,"","","",Presidential Document,Executive Order,11/07/1974,1974-11-05,"","Revoking Executive Order No. 11810 of September 30, 1974, and continuing in effect Executive Order No. 11533 of June 4, 1970, relating to the administration of export control","Continues in effect: EO 11533, June 4, 1970;      EO 11683, August 29, 1972; EO      11798, August 14, 1974
Revokes: EO 11810, September 30, 1974
Revoked by: EO 12002, July 7, 1977
See: EO 11940, September 30, 1976",11818,""
39 FR 40743, ,"","","",Presidential Document,Executive Order,11/20/1974,1974-11-16,"",Membership of the Energy Resources Council,"Amends: EO 11814, October 11, 1974
See: EO 11855, May 1, 1975",11819,""
39 FR 43529, ,"","","",Presidential Document,Executive Order,12/16/1974,1974-12-12,"",Abolishing the National Commission for Industrial Peace,"Revokes: EO 11710, April 4, 1973; EO      11729, July 12, 1973",11823,""
40 FR 751, ,"","","",Presidential Document,Executive Order,01/03/1975,1974-12-28,"",Exemption of Whitney Gillilland from mandatory retirement,"",11824,""
40 FR 1003, ,"","","",Presidential Document,Executive Order,01/06/1975,1974-12-31,"","Revocation of Executive orders pertaining to the regulation of the acquisition of, holding of, or other transactions in gold","Revokes:            EO 6073, March 10, 1933 (in part);            EO 6260, August 28, 1933;            EO 6359, October 25, 1933 (in part);            EO 6556, January 12, 1934;            EO 6560, January 15, 1934; EO 10289, September      17, 1951 (in part); EO 10896, November 29,      1960; EO 10905, January 14, 1961;      EO 11037, July 20, 1962",11825,""
40 FR 1004, ,"","","",Presidential Document,Executive Order,01/06/1975,1974-12-31,"",Exemption of Willard Deason from mandatory retirement,"",11826,""
40 FR 1217, ,"","","",Presidential Document,Executive Order,01/07/1975,1975-01-04,"",Continuance of certain Federal advisory committees,"Continuing various committees established by: EO      11126, November 1, 1963; EO 11145, March      7, 1964; EO 11183, October 3, 1964; EO      11287, June 28, 1966; EO 11342, April      10, 1967; EO 11415, June 24, 1968; EO      11472, May 29, 1969; EO 11562, September      25, 1970; EO 11583, February 24, 1971; EO      11625, October 13, 1971; EO 11667, April      19, 1972; EO 11753, December 20, 1973; EO      11776, March 28, 1974; EO 11807,      September 28, 1974
Amended by: EO 11915, May 10, 1976
Superseded by: EO 11948, December 20, 1976",11827,""
40 FR 1219, ,"","","",Presidential Document,Executive Order,01/07/1975,1975-01-04,"","Establishing a commission on CIA activities within the United
States","Amended by: EO 11848, March 29, 1975
EO 11848 of March 29, 1975 extended termination      date; report presented to the President on June 6, 1975 and Commission terminated      one month later.",11828,""
40 FR 1497, ,"","","",Presidential Document,Executive Order,01/08/1975,1975-01-06,"",The Hopi-Navajo Land Settlement Interagency Committee,"Amended by: EO 11853, April 17, 1975
Revoked by: EO 12379, August 17, 1982",11829,""
