citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
54 FR 7753, ,"","","",Presidential Document,Executive Order,02/23/1989,1989-02-20,"",Organization of Eastern Caribbean States,"",12669,""
54 FR 12571, ,"","","",Presidential Document,Executive Order,03/28/1989,1989-03-23,"",Delegation of disaster relief and emergency assistance functions,"Amends: EO 12148, July 20, 1979; EO       11795, July 11, 1974",12673,""
54 FR 15159, ,"","","",Presidential Document,Executive Order,04/14/1989,1989-04-12,"",Principles of ethical conduct for Government officers and employees,"Revokes: EO 11222, May 8, 1965; EO       12565, September 25, 1986
Amended by: EO 12731, October 17, 1990 (modified       in its entirety)
See: 57 FR 35006; 57 FR 58399",12674,""
54 FR 18872, ,"","","",Presidential Document,Executive Order,05/02/1989,1989-04-28,"",Level IV of the Executive Schedule,"Amends: EO 12154, September 4, 1979",12678,""
54 FR 27149, ,"","","",Presidential Document,Executive Order,06/27/1989,1989-06-23,"",Level IV of the Executive Schedule,"Amends: EO 12154, September 4, 1979",12679,""
54 FR 28995, ,"","","",Presidential Document,Executive Order,07/10/1989,1989-07-05,"",Administration of foreign assistance and related functions and arms export controls,"Amends: EO 11958, January 18, 1977;       EO 12163, September 29, 1979",12680,""
54 FR 31162, ,"","","",Presidential Document,Executive Order,07/26/1989,1989-07-21,"",Prescribing regulations relating to certain travel time of members of the Uniformed Services called to active duty,"Amends: EO 10153, August 17, 1950",12683,""
54 FR 34131, ,"","","",Presidential Document,Executive Order,08/18/1989,1989-08-16,"",Debarment and Suspension,"See: EO 12549, February 18, 1986",12689,""
54 FR 40627, ,"","","",Presidential Document,Executive Order,10/03/1989,1989-09-29,"",Continuance of Certain Federal Advisory Committees,"Continues committees established by: EO 12190,       February 1, 1980; EO 11145, March 7, 1964;       EO 12196, February 26, 1980; EO       11183, October 3, 1964, EO 12367, June       15, 1982; EO 12216, June 18, 1980; EO       11776, March 28, 1974; EO 11287, June       28, 1966; EO 12345, February 2, 1982; EO       12131, May 4, 1979; EO 12382, September       13, 1982; EO 12704, February 26, 1990
Revokes: EO 12462, February 17, 1984; EO       12592, April 10, 1987; EO 12668, January 25, 1989;       EO 12607, September 2, 1987; EO       12296, March 2, 1981; EO 12528, August       8, 1985; EO 12601, June 24, 1987
Supersedes: EO 12610, September 30, 1987
Superseded by: EO 12774, September 27, 1991",12692,""
54 FR 46589, ,"","","",Presidential Document,Executive Order,11/03/1989,1989-11-01,"",Delegation of Debt Relief Authority,"",12695,""
54 FR 53473, ,"","","",Presidential Document,Executive Order,12/28/1989,1989-12-23,"",Adjustments of certain rates of pay and allowances,"Supersedes: EO 12663, January 6,       1989
Superseded by: EO 12736, December 12, 1990",12698,""
55 FR 5953, ,"","","",Presidential Document,Executive Order,02/20/1990,1990-02-14,"",Amending Executive Order No. 12334,"Amends: EO 12334, December 4, 1981",12701,""
55 FR 6231, ,"","","",Presidential Document,Executive Order,02/22/1990,1990-02-20,"",Waiver under the Trade Act of 1974 with respect to Czechoslovakia,"",12702,""
55 FR 6351, ,"","","",Presidential Document,Executive Order,02/23/1990,1990-02-20,"",Support for East European Democracy (SEED) Program,"Amended by: EO 13118, March 31, 1999",12703,""
55 FR 8113, ,"","","",Presidential Document,Executive Order,03/06/1990,1990-03-03,"",Amendment to Executive Order No. 12686,"Amends: EO 12686, August 4, 1989",12705,""
55 FR 9313, ,"","","",Presidential Document,Executive Order,03/13/1990,1990-03-09,"",Nuclear Cooperation With EURATOM,"Supersedes: EO 12670, March 9, 1989
Superseded by: EO 12753, March 8, 1991
See: EO 12791, March 9, 1992",12706,""
55 FR 9707, ,"","","",Presidential Document,Executive Order,03/14/1990,1990-03-13,"",Termination of emergency with respect to Nicaragua,"Revokes: EO 12513, May 1, 1985",12707,""
55 FR 11353, ,"","","",Presidential Document,Executive Order,03/27/1990,1990-03-23,"","Amendments to the Manual for Courts-Martial, United States, 1984","Amends: EO 12473, April 13, 1984
See: EO 12767, June 27, 1991; EO      12888, December 23, 1993; EO 12936, November      10, 1994; EO 12960, May 12, 1995; EO      13086, May 27, 1998; EO 13140, October      6, 1999",12708,""
55 FR 13097, ,"","","",Presidential Document,Executive Order,04/06/1990,1990-04-04,"",Increasing the membership of the President's Council on Physical Fitness and Sports,"Amends: EO 12345, February 2, 1982",12709,""
55 FR 13099, ,"","","",Presidential Document,Executive Order,04/06/1990,1990-04-05,"",Termination of emergency with respect to Panama,"Revokes: EO 12635, April 8, 1988
See: 59 FR 46720; 59 FR 55209",12710,""
55 FR 13897, ,"","","",Presidential Document,Executive Order,04/13/1990,1990-04-11,"",Policy implementation with respect to nationals of the People's Republic of China,See: Pub. L. 102-393 (106 Stat. 17766); Pub. L. 102-404 (106 Stat. 1969),12711,""
55 FR 18095, ,"","","",Presidential Document,Executive Order,05/01/1990,1990-04-26,"",Adding the Secretary of Energy to the National Space Council,"Amends: EO 12675, April 20, 1989",12712,""
55 FR 18719, ,"","","",Presidential Document,Executive Order,05/04/1990,1990-05-01,"",Report required by section 502 of the Automotive Products Trade Act of 1965,"",12713,""
55 FR 19047, ,"","","",Presidential Document,Executive Order,05/08/1990,1990-05-03,"",Establishing an emergency board to investigate disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and their employees represented by certain labor organizations,"",12714,""
55 FR 19051, ,"","","",Presidential Document,Executive Order,05/08/1990,1990-05-03,"","Determination under section 2606 of Title 10, United States Code, for support of scouting activities overseas","",12715,""
55 FR 27451, ,"","","",Presidential Document,Executive Order,07/03/1990,1990-06-29,"",President's Advisory Commission on the Public Service,"",12718,""
55 FR 29001, ,"","","",Presidential Document,Executive Order,07/17/1990,1990-07-11,"",President's Commission on the Federal Appointment Process,"",12719,""
55 FR 33091, ,"","","",Presidential Document,Executive Order,08/13/1990,1990-08-09,"",Blocking Kuwaiti Government property and prohibiting transactions with Kuwait,"Revoked by: EO 12771, July 25, 1991
See: EO 12723, August 2, 1990; 55 FR 49856",12725,""
55 FR 33637, ,"","","",Presidential Document,Executive Order,08/16/1990,1990-08-15,"",Waiver under the Trade Act of 1974 with respect to the German Democratic Republic,"See: Presidential Determination 90-31, August 17, 1990; Presidential Determination 90-30; August 15, 1990",12726,""
55 FR 39389, ,"","","",Presidential Document,Executive Order,09/26/1990,1990-09-24,"",Educational Excellence for Hispanic Americans,"Revoked by: EO 12900, February 22, 1994",12729,""
55 FR 40373, ,"","","",Presidential Document,Executive Order,10/02/1990,1990-09-30,"",Continuation of export control regulations,"Amended by: Notice, September 26, 1991; Notice, September 25, 1992;
Revoked by: EO 12867, September      30, 1993
See: EO 12002, July 7, 1977; EO      12214, May 2, 1980; EO 12131, May 4, 1979;      EO 12868, September 30, 1993",12730,""
55 FR 46489, ,"","","",Presidential Document,Executive Order,11/02/1990,1990-10-31,"",International Fund for Agricultural Development,"",12732,""
55 FR 48099, ,"","","",Presidential Document,Executive Order,11/19/1990,1990-11-14,"",National emergency construction authority,"See: EO 12722, August 2, 1990; EO 12724, August 9, 1990
Revoked by: EO 13350, July 29, 2004",12734,""
55 FR 51385, ,"","","",Presidential Document,Executive Order,12/14/1990,1990-12-12,"",Adjustments of certain rates of pay and allowances,"Supersedes: EO 12698, December 23,      1989
Superseded by: EO 12786, December 26, 1991",12736,""
55 FR 52165, ,"","","",Presidential Document,Executive Order,12/19/1990,1990-12-17,"","Half-day closing of Government departments and agencies on Monday, December 24, 1990","",12739,""
56 FR 355, ,"","","",Presidential Document,Executive Order,01/04/1991,1990-12-29,"",Waiver under the Trade Act of 1974 with respect to the Soviet Union,"",12740,""
56 FR 475, ,"","","",Presidential Document,Executive Order,01/04/1991,1990-12-31,"",Extending the President's Education Policy Advisory Committee,"",12741,""
56 FR 2661, ,"","","",Presidential Document,Executive Order,01/23/1991,1991-01-18,"",Ordering the Ready Reserve of the Armed Forces to active duty,"Amended by: EO 13286, February 28, 2003
Revoked by: EO 13350, July 29, 2004",12743,""
56 FR 2663, ,"","","",Presidential Document,Executive Order,01/23/1991,1991-01-21,"","Designation of Arabian Peninsula areas, airspace, and adjacent waters as a combat zone","",12744,""
56 FR 4521, ,"","","",Presidential Document,Executive Order,02/04/1991,1991-02-01,"",Providing for Federal Pay Administration,"Amends: EO 10982, December 25, 1961
Revokes: EO 11721, May 23, 1973
Amended by: EO 12883, November 29,      1993; EO 13106, December 7, 1998
Revoked in pary by: EO 13415, December 1, 2006
See: EO 12764, June 5, 1991",12748,""
56 FR 4711, ,"","","",Presidential Document,Executive Order,02/06/1991,1991-02-04,"",Additions to level IV of the Executive Schedule,"Amends: EO 12154, September 4, 1979",12749,""
56 FR 6785, ,"","","",Presidential Document,Executive Order,02/19/1991,1991-02-14,"","Designation of Arabian Peninsula areas, airspace, and adjacent waters as the Persian Gulf Desert Shield Area","",12750,""
56 FR 6787, ,"","","",Presidential Document,Executive Order,02/19/1991,1991-02-14,"",Health care services for Operation Desert Storm,"Revoked by: EO 13350, July 29, 2004",12751,""
56 FR 11903, ,"","","",Presidential Document,Executive Order,03/20/1991,1991-03-18,"",Continuance of the President's Drug Advisory Council,"",12756,""
56 FR 16257, ,"","","",Presidential Document,Executive Order,04/19/1991,1991-04-17,"",Federal energy management,"Revoked by: EO 12902, March 8, 1994; EO      13123, June 3, 1999",12759,""
56 FR 21062, ,"","","",Presidential Document,Executive Order,05/06/1991,1991-05-02,"",President's Commission on Executive Exchange,"Revokes: EO 12493, December 5, 1984",12760,""
56 FR 25993, ,"","","",Presidential Document,Executive Order,06/06/1991,1991-06-04,"",Amendment relating to basic allowance for quarters,"Amends: EO 11157, June 22, 1964",12762,""
56 FR 25994, ,"","","",Presidential Document,Executive Order,06/06/1991,1991-06-04,"",Facilitating the operation of the Advisory Commission on Conferences in Ocean Shipping,"",12763,""
56 FR 30302, ,"","","",Presidential Document,Executive Order,07/02/1991,1991-06-28,"",Extension of the President's Council of Advisors on Science and Technology,"Amends: EO 12700, January 19, 1990
Revoked by: EO 12882, November 23,      1993",12768,""
56 FR 49387, ,"","","",Presidential Document,Executive Order,09/30/1991,1991-09-26,"",Amending Executive Order No. 10480,"Amends: EO 10480, August 14,      1953
Revoked in part by: EO 12919, June 3, 1994
Superseded by: EO 12919, June 3, 1994",12773,""
56 FR 49835, ,"","","",Presidential Document,Executive Order,10/01/1991,1991-09-27,"",Continuance of certain Federal advisory committees,"Continues certain committee established by: EO      11145, March 7, 1964; EO 11183, October      3, 1964; EO 11287, October 24, 1964; EO      11776, March 28, 1974; EO 12131, May 4,      1979; EO 12196, February 26, 1980; EO      12216, June 18, 1980; EO 12345, February      2, 1982; EO 12367, June 15, 1982; EO      12382, September 13, 1982
Revokes: EO 12658, November 18, 1988 ; EO      12686, August 4, 1989
Revokes in part: EO 12661, December 27,      1988
Supersedes: EO 12692, September 29,      1989
Superseded by: EO 12869, September      30, 1993",12774,""
56 FR 54757, ,"","","",Presidential Document,Executive Order,10/22/1991,1991-10-18,"","Implementation of section 311 of the Federal Water Pollution Control Act of October 18, 1972, as amended, and the Oil Pollution Act of 1990","Amends: EO 12580, January 23, 1987
Amended by: EO 13286, February 28, 2003; EO 13638, March 15, 2013
Revokes: EO 11735, August 3, 1973; EO      12123, February 26, 1979; EO 12418, May      5, 1983; Memorandum of August 24, 1990
See: 56 FR 54612; EO 13626, September 10, 2012",12777,""
56 FR 55195, ,"","","",Presidential Document,Executive Order,10/25/1991,1991-10-23,"",Civil Justice Reform,"Revoked by: EO 12988 of February 5, 1996
See: 57 FR 3640",12778,""
