citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
28 FR 13485, ,"","","",Presidential Document,Executive Order,12/13/1963,1963-12-11,"","Creating an emergency board to investigate disputes between the Braniff Airways, Inc., Continental Airlines, Inc., Eastern Air Lines, Inc., National Airlines, Inc., Northwest Airlines, Inc., and Trans World Airlines, Inc., and certain of their employees","Revoked by: EO 12553, February 25, 1986",11131,""
28 FR 13835, ,"","","",Presidential Document,Executive Order,12/19/1963,1963-12-17,"","Inspection of income, estate, and gift tax returns by the Senate Committee on Rules and Administration","",11133,""
29 FR 125, ,"","","",Presidential Document,Executive Order,01/07/1964,1964-01-03,"","Creating an emergency board to investigate disputes between the carriers represented by the Eastern, Western and Southeastern Carriers' Conference Committee, and certain of their employees","Revoked by: EO 12553, February 25, 1986",11135,""
29 FR 2479, ,"","","",Presidential Document,Executive Order,02/15/1964,1964-02-12,"",Prescribing regulations governing the allowance of travel expenses of claimants and beneficiaries of the Veterans' Administration and their attendants,"Supersedes: EO 10810, April 22, 1959; EO      10881, July 6, 1960
Superseded by: EO 11302, September 6, 1966",11142,""
29 FR 3127, ,"","","",Presidential Document,Executive Order,03/07/1964,1964-03-02,"",Public Advisory Committee for Trade Negotiations,"Amended by: EO 11159, June 23, 1964
Revoked by: EO 11425, August 30, 1968",11143,""
29 FR 3463, ,"","","",Presidential Document,Executive Order,03/18/1964,1964-03-17,"",Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees,"Revoked by: EO 12553, February 25, 1986",11147,""
29 FR 4789, ,"","","",Presidential Document,Executive Order,04/04/1964,1964-04-02,"",Establishing the Federal Reconstruction and Development Planning Commission for Alaska,"Revoked by: EO 11182, October 2, 1964",11150,""
29 FR 4989, ,"","","",Presidential Document,Executive Order,04/10/1964,1964-04-08,"","Suspension of the provisions of section 5770 of Title 10, United States Code, relating to promotion of certain officers of the regular Navy","Revoked by: EO 12082, September 19, 1978
See Pub. L. 94-412 (90 Stat. 1255, 50 U.S.C. 1601)",11151,""
29 FR 5335, ,"","","",Presidential Document,Executive Order,04/21/1964,1964-04-17,"","Inspection of income, estate, and gift tax returns by the Senate Committee on the Judiciary","",11153,""
29 FR 6909, ,"","","",Presidential Document,Executive Order,05/27/1964,1964-05-23,"",Providing for the recognition of certain students as Presidential Scholars,"Amended by: EO 12158, September 18, 1979; EO 13697, June 22, 2015",11155,""
29 FR 7855, ,"","","",Presidential Document,Executive Order,06/20/1964,1964-06-17,"",Establishing a Maritime Advisory Committee,"Revoked by: EO 11427, September 4, 1968",11156,""
29 FR 7973, ,"","","",Presidential Document,Executive Order,06/24/1964,1964-06-22,"","Prescribing regulations relating to incentive pay for hazardous duty, special pay for sea duty and duty at certain places, basic allowances for subsistence, and basic allowances for quarters","Revokes: EO 10119, March 27, 1950; EO      10152, August 17, 1950; EO 10168, October      11, 1950; EO 10204, January 15, 1951; EO      10605, April 22, 1955; EO 10618, June      28, 1955; EO 10681, October 22, 1956; EO      10739, November 15, 1957; EO 10821, May      20, 1959; EO 10892, November 8, 1960; EO      10989, January 22, 1962; EO 11120,      October 2, 1963; EO 11146, March 13, 1964
Amended by: EO 11242, August 28, 1965; EO      11253, October 20, 1965; EO 11259, December      3, 1965; EO 11292, August 1, 1966; EO      11382, November 28, 1967; EO 11424, August      29, 1968; EO 11473, June 14, 1969; EO      11511, February 27, 1970; EO 11591, April      23, 1971; EO 11716, April 26, 1973; EO      11728, July 12, 1973; EO 11897, January      13, 1976; EO 11929, July 26, 1976; EO      11939, September 30, 1976; EO 12094, November      1, 1978; EO 12243, October 3, 1980; EO      12274, January 16, 1981; EO 12337, January      11, 1982; EO 12380, August 18, 1982; EO      12394, November 18, 1982; EO 12420, May      11, 1983; EO 12488, September 27, 1984; EO      12494, December 6, 1984; EO 12541, December      30, 1985; EO 12573, November 6, 1986; EO      12608, September 9, 1987; EO 12702, June      4, 1991; EO 12935, October 28, 1994
Revoked by: EO 13294, March 28, 2003",11157,""
29 FR 7981, ,"","","",Presidential Document,Executive Order,06/24/1964,1964-06-22,"","Designating the Attorney General as the officer authorized to administer the provisions of the Austrian Assets Agreement of January 30, 1959","No more property involved to be administered under this order; should be viewed as obsolete--per Office of Legal Counsel, Justice Department, August 1975",11158,""
29 FR 9315, ,"","","",Presidential Document,Executive Order,07/08/1964,1964-07-06,"",Prescribing regulations relating to medical care for retired ships' officers and members of crews of vessels of the Coast and Geodetic Survey and dependents of active and retired ships' officers and crew members,"Amends: EO 9703, March 12, 1946",11160,""
