citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
26 FR 639,,"","","",Presidential Document,Executive Order,01/24/1961,1961-01-21,"",Providing for an expanded program of food distribution to needy families,"",10914,""
26 FR 781,,"","","",Presidential Document,Executive Order,01/26/1961,1961-01-24,"",Amending prior Executive Orders to provide for the responsibilities of the Director of the Food-for-Peace Program,"Amends: EO 10893, November 8, 1960; EO      10900, January 5, 1961
Amended by: EO 10973, November 3, 1961; EO      11963, January 19, 1977; EO 12148, July      20, 1979",10915,""
26 FR 1239,,"","","",Presidential Document,Executive Order,02/14/1961,1961-02-10,"",Abolishing certain committees on Government organization and management improvement,"Amends: EO 10072, July 29, 1949
Revokes: EO 10432, January 24,      1953",10917,""
26 FR 1463,,"","","",Presidential Document,Executive Order,02/21/1961,1961-02-17,"","Creating an emergency board to investigate a dispute between the Pan American World Airways, Inc., and certain of its employees","Amended by: EO 10926, March 18, 1961
Revoked by: EO 12553, February 25, 1986",10919,""
26 FR 1553,,"","","",Presidential Document,Executive Order,02/24/1961,1961-02-21,"",Establishing a commission to inquire into a controversy between certain air carriers and certain of their employees,"Amended by: EO 10922, February 23, 1961",10921,""
26 FR 1699,,"","","",Presidential Document,Executive Order,02/28/1961,1961-02-24,"","Creating an emergency board to investigate disputes between the Northwest Airlines, Inc., and certain of its employees","Amended by: EO 10933, April 12, 1961
Revoked by: EO 12553, February 25, 1986",10923,""
26 FR 1789,,"","","",Presidential Document,Executive Order,03/02/1961,1961-03-01,"",Establishment and administration of the Peace Corps in the Department of State,"See: EO 10893, November 8, 1960; EO      11603, June 30, 1971
Superseded by: EO 11041, August 6, 1962",10924,""
26 FR 1977,,"","","",Presidential Document,Executive Order,03/08/1961,1961-03-06,"",Establishing the President's Committee on Equal Employment Opportunity,"Revokes: EO 10479, August 13,      1953; EO 10482, August 15, 1953;      EO 10557, September 3, 1954; EO      10733, October 10, 1957
Amended by: EO 11114, June 22, 1963;      EO 11162, July 28, 1964
Superseded by: EO 11246, September 24, 1965      (Committee abolished)
See: Memorandum of April 18, 1961 (Public Papers of the President, 1961, Item 137)",10925,""
26 FR 2331,,"","","",Presidential Document,Executive Order,03/21/1961,1961-03-18,"","Amending Executive Order No. 10919, February 17, 1961, to extend the time within which the board created therein, to investigate a dispute between Pan American World Airways, Inc., and certain of its employees, shall report its findings to the President","Amends: EO 10919, February 17, 1961
Revoked by: EO 12553, February 25, 1986",10926,""
26 FR 2383,,"","","",Presidential Document,Executive Order,03/22/1961,1961-03-18,"",Abolishing the President's Committee on Fundraising Within the Federal Service and providing for the conduct of fundraising activities,"Revokes: EO 10728, September 6, 1957
Amended by: EO 12107, December 28, 1978
Revoked by: EO 12353, March 23, 1982",10927,""
26 FR 2583,,"","","",Presidential Document,Executive Order,03/28/1961,1961-03-24,"",Establishing a commission to inquire into a controversy between certain carriers and certain of their employees,"See: EO 10891, November 1, 1960; EO      10948, June 12, 1961
Amended by: EO 10991, February 6, 1962",10929,""
26 FR 2583,,"","","",Presidential Document,Executive Order,03/28/1961,1961-03-24,"",Abolishing the Government Patents Board and providing for the performance of its functions,"Revokes in part: EO 10096, January 23, 1950
See: EO 9865, June 14, 1947",10930,""
26 FR 3507,,"","","",Presidential Document,Executive Order,04/25/1961,1961-04-22,"","Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Un-American Activities, House of Representatives","",10935,""
26 FR 3555,,"","","",Presidential Document,Executive Order,04/26/1961,1961-04-24,"",Reports of identical bids,"Revoked by: EO 12430, July 6, 1983",10936,""
26 FR 3951,,"","","",Presidential Document,Executive Order,05/06/1961,1961-05-04,"",Establishing the President's Foreign Intelligence Advisory Board,"Revokes: EO 10656, February 6, 1956
Revoked by: EO 11460, March 20, 1969",10938,""
26 FR 3951,,"","","",Presidential Document,Executive Order,05/06/1961,1961-05-05,"",To provide a guide on ethical standards to Government officials,"Revoked by: EO 11222, May 8, 1965",10939,""
26 FR 4136,,"","","",Presidential Document,Executive Order,05/13/1961,1961-05-11,"",Establishing the President's Committee on Juvenile Delinquency and Youth Crime,"Revoked by: EO 11529, April 24, 1970",10940,""
26 FR 4419,,"","","",Presidential Document,Executive Order,05/23/1961,1961-05-19,"",Creating an emergency board to investigate a dispute between the Baltimore and Ohio Railroad Company and other carriers and certain of their employees,"Revoked by: EO 12553, February 25, 1986",10944,""
26 FR 4487,,"","","",Presidential Document,Executive Order,05/25/1961,1961-05-24,"",Administration of the Export Control Act of 1949,"Supersedes (export control provisions): Proc. 2413, July 2, 1940; EO      8900, September 15, 1941; EO 8982, December      17, 1941; EO 9361, July 15, 1943; EO      9380, September 25, 1943; EO 9630, September      27, 1945; EO 9919, January 3, 1948
Continued by: EO 11038, July 23, 1962
See: EO 11533, June 4, 1970; 50 U.S.C. App.      2021-2032
Note: This Executive order is no longer in effect; the Export Administration Act of 1969 is codified in the United States Code and EO 11533 regulates exports.",10945,""
26 FR 5731,,"","","",Presidential Document,Executive Order,06/28/1961,1961-06-26,"",Creating a Board of Inquiry to report on a labor dispute affecting the maritime industry of the United States,"Amended by: EO 10951, June 29, 1961
Revoked by: EO 12553, February 25, 1986",10949,""
26 FR 5918,,"","","",Presidential Document,Executive Order,07/01/1961,1961-06-29,"","Amending Executive Order No. 10949, June 26, 1961, to extend the time within which the Board of Inquiry created therein, to inquire into the issues involved in a labor dispute affecting the maritime industry, shall report to the President","Amends: EO 10949, June 26, 1961
Revoked by: EO 12553, February 25, 1986",10951,""
26 FR 6577,,"","","",Presidential Document,Executive Order,07/22/1961,1961-07-20,"",Assigning civil defense responsibilities to the Secretary of Defense and others,"Amends: EO 10773, July 1, 1958
See: Reorganization Plan No. 1 of 1958; EO 10958,      August 14, 1961; EO's 10996-11005,      February 16, 1962; EO 11589, April 3, 1971;      EO 11725, June 27, 1973; Public Law 93-608,      January 2, 1975 (88 Stat. 1971) sec. 2(3)
Amended by: EO 11051, September 27, 1962
Revoked by: EO 12148, July 20, 1979",10952,""
26 FR 6759,,"","","",Presidential Document,Executive Order,07/28/1961,1961-07-26,"","Amendment of Executive Order 10906, authorizing inspection of certain tax returns","Amends: EO 10906, January 17,      1961
See: EO 10738, November 15, 1957
Revoked by: EO 12553, February 25, 1986",10954,""
26 FR 7315,,"","","",Presidential Document,Executive Order,08/12/1961,1961-08-10,"","Amendment of Executive Order No. 10841, relating to international cooperation under the Atomic Energy Act of 1954, as amended","Amends: EO 10841, September 30, 1959",10956,""
26 FR 7541,,"","","",Presidential Document,Executive Order,08/15/1961,1961-08-10,"",Assigning authority with respect to ordering persons and units in the Ready Reserve to active duty and with respect to the extension of enlistments and other periods of service in the Armed Forces,"See: EO 11058, October 18, 1962",10957,""
26 FR 7571,,"","","",Presidential Document,Executive Order,08/16/1961,1961-08-14,"",Delegating functions with respect to civil defense stockpiles of medical supplies and equipment and food,"See: Reorganization Plan 1, 1958; EO 10530,      May 10, 1954; EO 10952, July 20, 1961; EO      11725, June 27, 1973
Supersedes in part: EO 10773, July 1, 1958;      EO 10902, January 9, 1961
Amended by: EO 11051, September 27, 1962
Revoked by: EO 11794, July 11, 1974",10958,""
26 FR 7823,,"","","",Presidential Document,Executive Order,08/23/1961,1961-08-21,"",Providing procedures for the award of the National Medal of Science,"See: EO 10910, January 17, 1961
Revoked by: EO 11287, June 28, 1966
President's Committee on the National Medal of Science continued by: EO      11287, June 28, 1966",10961,""
26 FR 8001,,"","","",Presidential Document,Executive Order,08/26/1961,1961-08-23,"",Inspection of tax returns by the Advisory Commission on Intergovernmental Relations,"Revoked by: EO 12553, February 25, 1986",10962,""
26 FR 9667,,"","","",Presidential Document,Executive Order,10/13/1961,1961-10-10,"","Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Government Operations, House of Representatives","",10966,""
26 FR 9667,,"","","",Presidential Document,Executive Order,10/13/1961,1961-10-11,"",Creating an emergency board to investigate a dispute between the Reading Company and certain of its employees,"Revoked by: EO 12553, February 25, 1986",10969,""
26 FR 10469,,"","","",Presidential Document,Executive Order,11/07/1961,1961-11-03,"","Administration of the Agricultural Trade Development and Assistance Act of 1954, as amended","Amends: EO 10900, January 5,      1961
Revoked by: EO 12220, June 27, 1980",10972,""
26 FR 10469,,"","","",Presidential Document,Executive Order,11/07/1961,1961-11-03,"",Administration of foreign assistance and related functions,"Supersedes: EO 10893, November 8, 1960 (in      part); EO 10915, January 24, 1961 (in part); EO      10955, July 31, 1961
Amended by: EO 11261, December 11, 1965;      EO 11417, July 24, 1968; EO      11432, October 22, 1968; EO 11579, January      19, 1971; EO 11685, September 25, 1972;EO      11816, October 23, 1974; EO 11841, February      28, 1975; EO 11959, January 18, 1977;      EO 12107, December 28, 1978; EO      12118, February 6, 1979
See: EO 11322, January 5, 1967; EO      11896, January 13, 1976
Revoked by: EO 12163, September 29, 1979",10973,""
26 FR 10585,,"","","",Presidential Document,Executive Order,11/10/1961,1961-11-08,"",Establishing the President's Commission on Campaign Costs,"Amended by: EO 11039, August 3, 1962",10974,""
26 FR 11937,,"","","",Presidential Document,Executive Order,12/14/1961,1961-12-12,"","Amendment of Executive Order No. 10717, establishing the President's Award for Distinguished Federal Civilian Service","Amends: EO 10717, June 27, 1957",10979,""
26 FR 12059,,"","","",Presidential Document,Executive Order,12/16/1961,1961-12-14,"",Establishing the President's Commission on the Status of Women,"See: EO 11126, November 1, 1963",10980,""
26 FR 12749,,"","","",Presidential Document,Executive Order,12/30/1961,1961-12-28,"","Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on the Judiciary","",10981,""
27 FR 3,,"","","",Presidential Document,Executive Order,01/03/1962,1961-12-25,"","Administration of the Act of September 26, 1961, relating to evacuation payments, assignments, and allotments, and other matters","Amended by: EO 12107, December 28, 1978;      EO 12748, February 1, 1991",10982,""
