citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
34 FR 1301, ,"","","",Presidential Document,Executive Order,01/28/1969,1969-01-24,"",Establishing the Cabinet Committee on Economic Policy,"Revoked by: EO 11702, January 25, 1973",11453,""
34 FR 1935, ,"","","",Presidential Document,Executive Order,02/11/1969,1969-02-07,"","Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on Government Operations","",11454,""
34 FR 2299, ,"","","",Presidential Document,Executive Order,02/18/1969,1969-02-14,"",Establishing an Office of Intergovernmental Relations,"Supersedes: EO 11426, August 31, 1968
Revoked by: EO 11690, December 14, 1972",11455,""
34 FR 4937, ,"","","",Presidential Document,Executive Order,03/07/1969,1969-03-05,"",Prescribing arrangements for developing and coordinating a national program for minority business enterprise,"Superseded by: EO 11625, October 13, 1971
See: EO 11007, February 26, 1962",11458,""
34 FR 5983, ,"","","",Presidential Document,Executive Order,04/02/1969,1969-03-28,"","Providing for the closing of Government departments and agencies on March 31, 1969, and for the granting of administrative leave on March 28, 1969","",11462,""
34 FR 6029, ,"","","",Presidential Document,Executive Order,04/03/1969,1969-04-01,"",Placing an additional position in level V of the Federal Executive Salary Schedule,"Amends: EO 11248, October 10, 1965",11463,""
34 FR 6233, ,"","","",Presidential Document,Executive Order,04/08/1969,1969-04-03,"",Modifying rates of interest equalization tax,"Amends: EO 11368, August 28, 1967
Amended by: EO 11754, December 26, 1973;       EO 11766, January 29, 1974",11464,""
34 FR 6415, ,"","","",Presidential Document,Executive Order,04/12/1969,1969-04-10,"","Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Internal Security, House of Representatives","",11465,""
34 FR 6727, ,"","","",Presidential Document,Executive Order,04/22/1969,1969-04-18,"",Administration of certain jointly funded projects,"Superseded by: EO 11867, June 19, 1975",11466,""
34 FR 7641, ,"","","",Presidential Document,Executive Order,05/14/1969,1969-05-10,"","Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","Amends: EO 11248, October 10, 1965",11468,""
34 FR 12937, ,"","","",Presidential Document,Executive Order,08/09/1969,1969-08-07,"",Authorizing the Atomic Energy Commission to make certain awards without the approval of the President,"Amended by: EO 12038, February 3, 1978",11477,""
34 FR 14271, ,"","","",Presidential Document,Executive Order,09/11/1969,1969-09-08,"",The Honorable Everett McKinley Dirksen,"See: Proc. 3044, March 1, 1954",11479,""
