citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
46 FR 12693, ,"","","",Presidential Document,Executive Order,02/18/1981,1981-02-14,"",Foreign Service Retirement and Disability System,"Amends: Pub. L. 96-465, Foreign Service Act of 1980",12289,""
46 FR 12943, ,"","","",Presidential Document,Executive Order,02/19/1981,1981-02-17,"",Federal exports and excessive regulation,"Revokes:  		EO 12264, January 15, 1981",12290,""
46 FR 16879, ,"","","",Presidential Document,Executive Order,03/16/1981,1981-03-12,"",Lake Tahoe region,"Revokes:  		EO 12247, October 15, 1980",12298,""
46 FR 19211, ,"","","",Presidential Document,Executive Order,03/30/1981,1981-03-26,"",Integrity and efficiency in Federal programs,"Revoked by:  		EO 12625, January 27, 1988
Amended by:  		EO 13118, March 31, 1999",12301,""
46 FR 21341, ,"","","",Presidential Document,Executive Order,04/10/1981,1981-04-08,"",Presidential Advisory Committee on Federalism,"Revoked by:  		EO 12399, December 31, 1982",12303,""
46 FR 24521, ,"","","",Presidential Document,Executive Order,05/01/1981,1981-04-29,"",Seal for the Panama Canal Commission,"",12304,""
46 FR 25421, ,"","","",Presidential Document,Executive Order,05/07/1981,1981-05-05,"",Termination of certain Federal advisory committees,"Revokes:  		EO 11992, May 24, 1977;  		EO 12059, May 11, 1978;  		EO 12064, June 5, 1978;  		EO 12084, September 27, 1978;
Revokes in part:  		EO 12097, November 8, 1978;  		EO 12258, December 31, 1980",12305,""
46 FR 29693, ,"","","",Presidential Document,Executive Order,06/03/1981,1981-06-01,"","Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends:  		EO 11476, June 19, 1969 (which was rescinded by  		EO 12473, April 13, 1984)
See:  		EO 12198, March 12, 1980",12306,""
46 FR 31869, ,"","","",Presidential Document,Executive Order,06/18/1981,1981-06-16,"",President's Commission on Housing,"Amended by:  		EO 12339, January 13, 1982
Revoked by:  		EO 12399, December 31, 1982",12310,""
46 FR 34305, ,"","","",Presidential Document,Executive Order,07/01/1981,1981-06-29,"",Amending the Generalized System of Preferences,"Amends:  		EO 11888, November 24, 1975; Proc. 4768, June 28, 1981",12311,""
46 FR 35251, ,"","","",Presidential Document,Executive Order,07/08/1981,1981-07-02,"",The Meritorious Service Medal,"Amends:  		EO 11448, January 16, 1969",12312,""
46 FR 39107, ,"","","",Presidential Document,Executive Order,07/31/1981,1981-07-29,"","Amending the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends:  		EO 11476, June 19, 1969 (which was rescinded by  		EO 12473, April 13, 1984)
See:  		EO 12198, March 12, 1980",12315,""
46 FR 42833, ,"","","",Presidential Document,Executive Order,08/25/1981,1981-08-21,"",Statistical policy functions,"Amends:  		EO 10033, February 8, 1949;  		EO 10253, June 11, 1951;  		EO 11541, July 1, 1970;  		EO 11961, January 19, 1977
Revokes:  		EO 12013, October 7, 1977",12318,""
46 FR 46107, ,"","","",Presidential Document,Executive Order,09/17/1981,1981-09-15,"",Historically Black Colleges and Universities,"Revokes:  		EO 12232, August 8, 1980
Revoked by:  		EO 12677, April 28, 1989",12320,""
46 FR 46109, ,"","","",Presidential Document,Executive Order,09/17/1981,1981-09-14,"",Foreign assistance and arms export control,"Amends:  		EO 11958, January 18, 1977;  		EO 12163, September 29, 1979",12321,""
46 FR 48617, ,"","","",Presidential Document,Executive Order,10/02/1981,1981-09-30,"",Presidential Task Force on the Arts and Humanities,"Amends:  		EO 12308, June 5, 1981",12325,""
46 FR 50357, ,"","","",Presidential Document,Executive Order,10/13/1981,1981-10-08,"",Federal employees contracting or trading with Indians,"Amended by:  		EO 12608, September 9, 1987",12328,""
46 FR 50919, ,"","","",Presidential Document,Executive Order,10/16/1981,1981-10-14,"",President's Task Force on Private Sector Initiatives,"Revoked by:  		EO 12399, December 31, 1982",12329,""
