citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
"", ,"","","",Presidential Document,Executive Order,"",1937-01-11,"",Exemption of James E. Tibbitts From Compulsory Retirement for Age,"",7533,true
2 FR 87, ,"","","",Presidential Document,Executive Order,01/14/1937,1937-01-12,"","Excluding Land From Sitgreaves National Forest and Reserving it for Townsite Purposes, Arizona","",7534,""
"", ,"","","",Presidential Document,Executive Order,"",1937-01-22,"","Revocation of Executive Order No. 6550 of January 6, 1934, Requiring Reports as to Allocation and Obligation of Emergency Funds","Revokes: EO 6550, January 6, 1934",7540,true
2 FR 168, ,"","","",Presidential Document,Executive Order,01/26/1937,1937-01-22,"","Establishing Willapa Harbor Migratory Bird Refuge, Washington","Amends: Executive order of September 11, 1854 (unnumbered series)
Amended by: EO 7721, October 8, 1937
See: Proclamation 2439, November 7, 1940",7541,""
"", ,"","","",Presidential Document,Executive Order,"",1937-01-27,"","Transfer of Certain Records of the Railroad Administration to the General Accounting Office, the Interstate Commerce Commission, and the United States Civil Service Commission","",7542,true
2 FR 277, ,"","","",Presidential Document,Executive Order,02/04/1937,1937-02-01,"",Transfer of Certain Property and Functions From the Department of Agriculture to the Department of the Interior,"Amends: EO 7530, December 31, 1936",7546,""
"", ,"","","",Presidential Document,Executive Order,"",1937-02-01,"","Amendment of Executive Order No. 6928 of December 24, 1934, Prescribing Regulations for Payment of Losses, etc.","Amends: EO 6928, December 24, 1934
Superseded by: EO 7972, September 15, 1938",7547,true
2 FR 307, ,"","","",Presidential Document,Executive Order,02/09/1937,1937-02-05,"","Enforcement of the Convention for Safety of Life at Sea, 1929","Superseded by: EO 10402, October 30, 1952
Revoked by: EO 11239, July 31, 1965",7548,""
2 FR 381, ,"","","",Presidential Document,Executive Order,02/11/1937,1937-02-11,"","Amendment of Paragraph 1, Subdivision VI, Schedule A, Civil Service Rules","",7551,""
"", ,"","","",Presidential Document,Executive Order,"",1937-02-13,"",Exemption of William H. Long From Compulsory Retirement for Age,"",7552,true
2 FR 403, ,"","","",Presidential Document,Executive Order,02/20/1937,1937-02-17,"",Increasing Amounts Available for Public Projects Under Emergency Relief Appropriation Act of 1936,"Amends: EO 7469, October 13, 1936; EO 7512, December 16, 1936
Amended by: EO 7617, May 13, 1937",7553,""
