citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
10 FR 4193, ,"","","",Presidential Document,Executive Order,04/19/1945,1945-04-17,"","Authorizing the Petroleum Administrator To Take Possession of and To Operate the Plants and Facilities of the Cities Service Refining Corporation, Located in and Around Lake Charles, Louisiana","See: EO 9603, August 25, 1945",9540,""
10 FR 4961, ,"","","",Presidential Document,Executive Order,05/04/1945,1945-05-02,"",Providing for Representation of the United States in Preparing and Prosecuting Charges of Atrocities and War Crimes Against the Leaders of the European Axis Powers and Their Principal Agents and Accessories,"Amended by: EO 9679, January 16, 1946",9547,""
10 FR 5025, ,"","","",Presidential Document,Executive Order,05/05/1945,1945-05-03,"",Authorizing the Secretary of the Interior To Take Possession of and To Operate Certain Coal Mines,"",9548,""
10 FR 5447, ,"","","",Presidential Document,Executive Order,05/12/1945,1945-05-10,"",Regulations Relating to Aerial Flights by Personnel of the Coast and Geodetic Survey,"See: EO 9195, July 7, 1942",9550,""
10 FR 5709, ,"","","",Presidential Document,Executive Order,05/19/1945,1945-05-16,"",Providing for the Transfer to the Republic of Panama of the Water and Sewerage Systems Installed by the United States in the Cities of Panama and Colon,"",9551,""
10 FR 5889, ,"","","",Presidential Document,Executive Order,05/24/1945,1945-05-22,"",Creating an Emergency Board To Investigate a Dispute Between the River Terminal Railway Company and Its Employees,"Revoked by: EO 12553, February 25, 1986",9553,""
10 FR 6153, ,"","","",Presidential Document,Executive Order,05/29/1945,1945-05-26,"","Amendment of Executive Order 9210 of August 1, 1942, Prescribing Regulations Governing the Payment of Additional Compensation to Enlisted Men of the Navy and Coast Guard Specially Qualified in the Use of Arms","Amends: EO 9210, August 1, 1942
Note: The authority of this Executive order was repealed by the Career Compensation Act of 1949, Public Law 81-351, 63 Stat. 839.",9557,""
10 FR 6153, ,"","","",Presidential Document,Executive Order,05/29/1945,1945-05-26,"",Reinstating Certain Foreign Service Officers,"",9558,""
10 FR 6639, ,"","","",Presidential Document,Executive Order,06/06/1945,1945-06-04,"","Amendment of Rule 46 of Executive Order No. 4314 of September 25, 1925, Establishing Rules Governing Navigation of the Panama Canal and Adjacent Waters","Amends: EO 4314, September 25, 1925",9563,""
10 FR 6791, ,"","","",Presidential Document,Executive Order,06/07/1945,1945-06-05,"","Authorizing the Petroleum Administrator To Take Possession of and Operate the Plants and Facilities of the Humble Oil and Refining Company Located in Ingleside, Texas","See: EO 9603, August 25, 1945",9564,""
10 FR 9617, ,"","","",Presidential Document,Executive Order,06/12/1945,1945-06-08,"","Amending Executive Order No. 9095, as Amended by Executive Order No. 9193, To Define Further the Functions and Duties of the Alien Property Custodian With Respect to Property of Germany and Japan and Nationals Thereof","Amends: EO 9095, March 11, 1942
Revoked by: EO 12553, February 25, 1986
See: EO 9193, July 6, 1942; EO       9788, October 15, 1946",9567,""
10 FR 7315, ,"","","",Presidential Document,Executive Order,06/19/1945,1945-06-15,"",Authorizing the Secretary of the Interior To Acquire and Dispose of Certain Property,"",9571,""
10 FR 7435, ,"","","",Presidential Document,Executive Order,06/21/1945,1945-06-18,"","Authorizing the Secretary of War To Take Possession of and Operate the Plants and Facilities of the Diamond Alkali Company, Located in or Around Painesville, Ohio","",9574,""
10 FR 7895, ,"","","",Presidential Document,Executive Order,06/29/1945,1945-06-21,"",Declaring the Commissioned Corps of the Public Health Service To Be a Military Service and Prescribing Regulations Therefore,"Superseded by: EO 10349, April 26, 1952",9575,""
10 FR 8191, ,"","","",Presidential Document,Executive Order,07/04/1945,1945-06-30,"",Approving Regulations of the Civil Service Commission Under the Federal Employees Pay Act of 1945,"See: EO 8973, December 12, 1941; EO       9067, February 20, 1942",9578,""
10 FR 8197, ,"","","",Presidential Document,Executive Order,07/04/1945,1945-07-02,"","Amendment of Executive Order 9356 of June 24, 1943, Prescribing Regulations Governing the Furnishing of Clothing in Kind or Payment of Cash Allowances in Lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve","Amends: EO 9356, June 24, 1943
Superseded by: EO 9744-B, June 29, 1946",9583,""
10 FR 8523, ,"","","",Presidential Document,Executive Order,07/10/1945,1945-07-06,"",The Medal of Freedom,"Amended by: EO 10336, April 3, 1952; EO       11085, February 22, 1963; EO 11515, March       13, 1970
See: Transfer Order 30 of the Secretary of Defense dated December 10, 1948 (13 FR 8163)",9586,""
10 FR 8599, ,"","","",Presidential Document,Executive Order,07/11/1945,1945-07-06,"","Creating an Emergency Board To Investigate the Disputes Between the Chicago, North Shore & Milwaukee Railroad Company and the Chicago, Aurora & Elgin Railroad Company and Their Employees","Revoked by: EO 12553, February 25, 1986",9588,""
10 FR 8949, ,"","","",Presidential Document,Executive Order,07/20/1945,1945-07-19,"","Authorizing the Petroleum Administrator To Take Possession of and Operate the Butadiene Plant Operated by Sinclair Rubber, Inc., at Houston, Texas","See: EO 9603, August 25, 1945",9589-A,""
10 FR 9203, ,"","","",Presidential Document,Executive Order,07/25/1945,1945-07-21,"",Establishing Certain Awards for the Coast and Geodetic Survey,"",9590,""
10 FR 9205, ,"","","",Presidential Document,Executive Order,07/25/1945,1945-07-21,"","Extension of the Provisions of Executive Order No. 9001 of December 27, 1941, to Contracts of the Office of War Information and the Office of Alien Property Custodian","Amends: EO 9001, December 27, 1941
See: Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)
Note: The authority of this Executive order was repealed by Public Law 89-554, 80 Stat. 651, 50 U.S.C. App. 611n",9592,""
10 FR 9703, ,"","","",Presidential Document,Executive Order,08/07/1945,1945-07-23,"","Amendment of Executive Order No. 9400 of December 3, 1943, Authorizing the Secretary of the Navy To Take Possession of and Operate the Shipyard of the Los Angeles Shipbuilding and Drydock Corporation at Los Angeles, California","Amends: EO 9400, December 3, 1943",9592-A,""
10 FR 9571, ,"","","",Presidential Document,Executive Order,08/02/1945,1945-07-30,"","Authorizing the Secretary of War To Take Possession of and Operate the Plants and Facilities of the United States Rubber Company, Located in or Around Detroit, Michigan","See: EO 9603, August 25, 1945",9595,""
10 FR 10071, ,"","","",Presidential Document,Executive Order,08/15/1945,1945-08-13,"",Revoking Executive Order No. 9528 Which Provides a Change in the Order of Succession of Officers To Act as Secretary of the Navy,"Revokes: EO 9528, March 2, 1945",9596,""
10 FR 10158, ,"","","",Presidential Document,Executive Order,08/21/1945,1945-08-17,"",Modifying the Conditions Upon Which a Classified Status May Be Granted,"Supersedes: EO 9506, December 12, 1944
Revoked by: EO 9830, February 24, 1947
See: EO 9538, April 13, 1945",9598,""
10 FR 10957, ,"","","",Presidential Document,Executive Order,08/28/1945,1945-08-23,"","Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Illinois Central Railroad Company","",9602,""
10 FR 11101, ,"","","",Presidential Document,Executive Order,08/30/1945,1945-08-29,"","Revoking Paragraph 4 of Executive Order No. 9279 of December 5, 1943, So As To Permit Voluntary Enlistments in the Armed Forces","Revokes: EO 9279, December 5, 1942 (in part)
Note: The authority of this Executive order was repealed by Public Law 89-554, 80 Stat 651, 50 U.S.C. App. 61-605n.",9605,""
10 FR 11101, ,"","","",Presidential Document,Executive Order,08/30/1945,1945-08-29,"",Adopting and Ratifying the Capture of the German Motor Vessel ``Caribia'',"",9606,""
10 FR 11191, ,"","","",Presidential Document,Executive Order,08/31/1945,1945-08-30,"","Revoking Executive Order 9301 of February 9, 1943, Establishing a Minimum Wartime Workweek of Fourty-Eight Hours","Revokes: EO 9301, February 9, 1943",9607,""
10 FR 11223, ,"","","",Presidential Document,Executive Order,09/01/1945,1945-08-31,"","Providing for the Termination of the Office of War Information, and for the Disposition of Its Functions and of Certain Functions of the Office of Inter-American Affairs","Amends: EO 9532, March 23, 1945
Revokes: EO 8840, July 30, 1941 (in part);       EO 9182, June 13, 1942 (in part)
Amended by: EO 9809, December 12, 1946",9608,""
10 FR 11379, ,"","","",Presidential Document,Executive Order,09/07/1945,1945-09-05,"",Authorizing the National Advisory Committee for Aeronautics To Acquire and Dispose of Property,"",9609,""
10 FR 11415, ,"","","",Presidential Document,Executive Order,09/08/1945,1945-09-06,"",Authorizing the Administrator of Veterans' Affairs To Acquire and Dispose of Property,"",9610,""
10 FR 11637, ,"","","",Presidential Document,Executive Order,09/12/1945,1945-09-10,"",Reestablishing the Advisory Board on Just Compensation,"Amended by: EO 9627, September 24,       1945
See: EO 9387, October 15, 1943",9611,""
10 FR 11789, ,"","","",Presidential Document,Executive Order,09/15/1945,1945-09-13,"",Withdrawing and Reserving for the Use of the United States Lands Containing Radio-Active Mineral Substances,"Revoked by: EO 9701, March 4, 1946
See: Public Land Order 315, February 20, 1946 (11 FR 2126)",9613,""
10 FR 11789, ,"","","",Presidential Document,Executive Order,09/15/1945,1945-09-14,"","Making Certain Time Limitations Imposed by Executive Order No. 4601 of March 1, 1927, Prescribing Regulations Pertaining to the Award of the Distinguished Flying Cross, Inapplicable in Certain Cases","Superseded by: EO 10189, December 6, 1950
See: EO 4601, March 1, 1927; Transfer Order 40 of the Secretary of Defense dated July 22, 1949 (14 FR 4908)",9615,""
10 FR 12033, ,"","","",Presidential Document,Executive Order,09/22/1945,1945-09-14,"",Creation of a Special Temporary Position in the Public Health Service,"",9616-A,""
10 FR 11929, ,"","","",Presidential Document,Executive Order,09/20/1945,1945-09-19,"",Transfer of Certain Agencies and Functions to the Department of Labor,"Amends: EO 9017, January 12, 1942; EO       9139, April 18, 1942; EO 9309, March 6,       1943; EO 9744-a, June 29, 1946
Amended by: EO 9672, December 31,       1945",9617,""
10 FR 11931, ,"","","",Presidential Document,Executive Order,09/20/1945,1945-09-19,"","Appointment of Edwin G. Arnold, Director, Division of Territories and Island Possessions, Department of the Interior, as Administrator of the Puerto Rico Reconstruction Administration","See:             EO 7057, May 28, 1935;             EO 7180, September 6, 1935; EO 7554, February       17, 1937; EO 7689, August 12, 1937",9618,""
10 FR 11931, ,"","","",Presidential Document,Executive Order,09/20/1945,1945-09-19,"",Amending Subdivision VII of Schedule A of the Civil Service Rules,"Revoked by: EO 9830, February 24, 1947",9619,""
10 FR 12033, ,"","","",Presidential Document,Executive Order,09/22/1945,1945-09-20,"",Abolishing the Office of Economic Stabilization and Transferring its Functions to the Office of War Mobilization and Reconversion,"Amended by: EO 9699, February 21, 1946
Revoked by: EO 9801, November 9, 1946
See: EO 9250, October 3, 1942",9620,""
10 FR 12035, ,"","","",Presidential Document,Executive Order,09/22/1945,1945-09-20,"","Revocation of Executive Order 9103 of March 18, 1942, Providing Uniform Control Over the Publication and Use of Federal Statistical Information Which Would Give Aid and Comfort to the Enemy","Revokes: EO 9103, March 18, 1942",9622,""
10 FR 12073, ,"","","",Presidential Document,Executive Order,09/25/1945,1945-09-21,"","Revoking Executive Order 9294 of January 4, 1943, Further Defining the Functions and Duties of the Office of Defense Transportation","Revokes: EO 9294, January 4, 1943",9625,""
10 FR 12113, ,"","","",Presidential Document,Executive Order,09/26/1945,1945-09-24,"",Appointment of the Member and Alternate Member for the United States of the International Military Tribunal Established for the Trial and Punishment of the Major War Criminals of the European Axis,"",9626,""
10 FR 12245, ,"","","",Presidential Document,Executive Order,09/29/1945,1945-09-27,"",Redistribution of Foreign Economic Functions and Functions With Respect to Surplus Property in Foreign Areas,"Amends: EO 9380, September 25, 1943; EO       9453, July 6, 1944
Amended by: EO 9730, May 24, 1946; EO       9919, January 3, 1948
Superseded by: EO 10945, May 24,       1961 (in part)
See: EO 9280, December 5, 1942; EO       9652, October 31, 1945; Proclamation 2712 of December 3, 1946",9630,""
10 FR 12304, ,"","","",Presidential Document,Executive Order,10/02/1945,1945-09-28,"",Termination of the Office of Censorship,"See: EO 8985, December 19, 1941",9631,""
10 FR 12543, ,"","","",Presidential Document,Executive Order,10/05/1945,1945-10-03,"",Medal for Merit,"Supersedes: EO 9331, April 19, 1943
Amended by: EO 9857-A, May 27, 1947
See: Transfer Order 30 of the Secretary of Defense, dated December 10, 1948 (13 FR 8163)",9637,""
10 FR 12592, ,"","","",Presidential Document,Executive Order,10/06/1945,1945-10-04,"","Authorizing the Secretary of the Navy To Take Possession of and Operate Certain Plants and Facilities Used in the Transportation, Refining and Processing of Petroleum and Petroleum Products","",9639,""
10 FR 12623, ,"","","",Presidential Document,Executive Order,10/09/1945,1945-10-04,"","Creating an Emergency Board To Investigate the Disputes Between the Railway Express Agency, Inc., and Certain of its Employees","Revoked by: EO 12553, February 25, 1986",9640,""
10 FR 12979, ,"","","",Presidential Document,Executive Order,10/19/1945,1945-10-18,"","Amendment of Executive Order 9356 of June 24, 1943, as Amended, Prescribing Regulations Governing the Furnishing of Clothing in Kind or Payment of Cash Allowances in Lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve","Amends: EO 9356, June 24, 1943
Superseded by: EO 9744-B, June 29, 1946",9642,""
10 FR 13095, ,"","","",Presidential Document,Executive Order,10/23/1945,1945-10-19,"",Authorizing the Civil Service Commission to Confer a Competitive Classified Civil-Service Status Upon Certain Disabled Veterans,"Revoked by: EO 9830, February 24, 1947
See: EO 9063, February 16, 1942",9644,""
10 FR 13255, ,"","","",Presidential Document,Executive Order,10/25/1945,1945-10-24,"","Termination of the Authority Conferred by Executive Order No. 9489 of October 18, 1944","See: EO 9489, October 18, 1944",9645,""
10 FR 13351, ,"","","",Presidential Document,Executive Order,10/27/1945,1945-10-25,"",Discontinuing the Matagorda Bay Defensive Sea Area,"See: EO 9168, May 20, 1942",9648,""
10 FR 13431, ,"","","",Presidential Document,Executive Order,10/31/1945,1945-10-29,"",Termination of the Office of Fishery Coordination,"See: EO 9204, July 21, 1942",9649,""
10 FR 13431, ,"","","",Presidential Document,Executive Order,10/31/1945,1945-10-29,"","Discontinuing Portland, Maine; Portsmouth, New Hampshire; Boston, Massachusetts; Narragansett Bay; New London, Connecticut; Chesapeake Bay-Norfolk; Charleston Harbor; and Buzzards Bay and Vineyard Sound Defensive Sea Area","See: EO 8970, December 11, 1941; EO       8978, December 16, 1941; EO 9266, November       6, 1942",9650,""
10 FR 13581, ,"","","",Presidential Document,Executive Order,11/03/1945,1945-10-31,"",Authorizing the Appointment of Certain Personnel in the Department of State,"See: EO 9621, September 20, 1945;       EO 9630, September 27, 1945",9652,""
10 FR 13619, ,"","","",Presidential Document,Executive Order,11/03/1945,1945-11-01,"",Amending Schedules A and B of the Civil Services Services Rules,"Revoked by: EO 9830, February 24, 1947",9653,""
10 FR 13679, ,"","","",Presidential Document,Executive Order,11/06/1945,1945-11-03,"",Adapting and Ratifying the Capture of the German Steamship Milwaukee,"",9654,""
10 FR 14173, ,"","","",Presidential Document,Executive Order,11/17/1945,1945-11-15,"",Transfer of Shipbuilding Stabilization Committee,"See: EO 9250, October 3, 1942",9656,""
10 FR 14351, ,"","","",Presidential Document,Executive Order,11/24/1945,1945-11-21,"","Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Capital Transit Company, Washington, District of Columbia","See: EO 8989, December 18, 1941; EO       9156, May 2, 1942",9658,""
10 FR 14353, ,"","","",Presidential Document,Executive Order,11/24/1945,1945-11-21,"",Extension of Trust Periods on Indian Lands Expiring During Calendar Year 1946,"",9659,""
10 FR 14653, ,"","","",Presidential Document,Executive Order,12/01/1945,1945-11-29,"",Restricting Competition in Certain Civil-Service Examinations to Veterans,"Superseded by: EO 9738, June 19, 1946",9662,""
10 FR 15301, ,"","","",Presidential Document,Executive Order,12/22/1945,1945-12-18,"",Continuing the Work of the Fair Employment Practice Committee,"See: EO 8802, June 25, 1941; EO       8823, July 18, 1941; EO 9111, March 25,       1942; EO 9346, May 27, 1943",9664,""
11 FR 4, ,"","","",Presidential Document,Executive Order,01/01/1946,1945-12-28,"",Transfer of Air-Navigation Facilities and Functions in Iran From the War Department to the Administrator of Civil Aeronautics,"Superseded by: EO 9709, March 29, 1946",9669,""
11 FR 4, ,"","","",Presidential Document,Executive Order,01/01/1946,1945-12-28,"",Establishing the Tennessee National Wildlife Refuge,"See: Public Land Order 5505, June 23, 1975 (40 FR 27458)",9670,""
